Player Name,Score,Character,Vehicle,Glider,Tires
Mattew,114981,Heavy Mii,Blue Falcon,Super Glider,Slim
Del,98522,Male Villager,Standard Kart,Super Glider,Off-Road
Alexal,49092,King Boo,W 25 Silver Arrow,Super Glider,Button
Danny,110439,Morton,Splat Buggy,Super Glider,Slim
Mattew,93528,King Boo,Blue Falcon,Super Glider,Slim
Toopa,81759,Dark Blue Inkling Boy,Streetle,Parafoil,Roller
ゆゆゆ,116636,Bowser,Sport Bike,Wario Wing,Slick
Xander,107500,Wario,Splat Buggy,Super Glider,Slim
Xander,127516,Morton,Splat Buggy,Super Glider,Slim
Xander,110940,Wario,Splat Buggy,Super Glider,Off-Road
Xander,126256,Morton,Splat Buggy,Super Glider,Slim
Danny,114754,Morton,Splat Buggy,Super Glider,Slim
Xander,123003,Morton,Tanooki Kart,Parachute,Roller
Danny,110212,Morton,Splat Buggy,Super Glider,Slim
Danny,123290,Wario,Steel Driver,Super Glider,Roller
Xander,122369,Morton,Streetle,Parachute,Roller
Shadman,97383,Mario,Standard Kart,Super Glider,Standard
Wariuzzo,83975,Pink Gold Peach,City Tripper,Super Glider,Slick
Mio,104115,Heavy Mii,P-Wing,Plane Glider,Crimson Slim
Wariuzzo,80180,Pink Gold Peach,City Tripper,Peach Parasol,Slick
TylerR,85152,Roy,Biddybuggy,Cloud Glider,Leaf Tires
PreyingShark,89942,Dry Bowser,Sneeker,Super Glider,Crimson Slim
Danny,113199,Morton,Splat Buggy,Super Glider,Slim
Issem,87027,King Boo,Pipe Frame,Parachute,Slim
Issem,66877,King Boo,Pipe Frame,Parachute,Slim
SeLe,109907,Morton,Streetle,Super Glider,Slim
Issem,90925,King Boo,Pipe Frame,Parachute,Slim
Issem,87138,King Boo,Pipe Frame,Parachute,Slim
ひす,125009,Wario,Pipe Frame,Super Glider,Slim
Peze,110800,Morton,Circuit Special,Super Glider,Off-Road
Del,64802,Bowser Jr.,Standard Kart,Super Glider,Button
Del,97606,Male Villager,Standard Kart,Super Glider,Off-Road
Del,85806,Morton,Standard Kart,Super Glider,Off-Road
パステル,105171,Bowser,Comet,Super Glider,Slim
Shadman,96046,Mario,Standard Kart,Super Glider,Standard
ゆゆゆ,118616,Bowser,Sport Bike,Wario Wing,Slim
パステル,75664,Bowser,Comet,Super Glider,Slim
Del,66603,King Boo,Circuit Special,Super Glider,Standard
Issem,81756,King Boo,Pipe Frame,Parachute,Slim
DwayneP,92205,Link,Master Cycle,Plane Glider,Leaf Tires
Mattew,123103,Heavy Mii,Blue Falcon,Super Glider,Button
DestinyCst,96688,Rosalina,Blue Falcon,Super Glider,Cyber Slick
Del,90612,Morton,Standard Kart,Super Glider,Off-Road
KevinCst,97465,Heavy Mii,Circuit Special,Super Glider,Standard
Xander,128533,Morton,Splat Buggy,Super Glider,Slim
Danny,108123,Morton,Splat Buggy,Super Glider,Slim
Del,91942,Male Villager,Standard Kart,Super Glider,Off-Road
