"Character","Vehicle","Tires","Glider","PredictedScore"
"Pink Gold Peach","P-Wing","Sponge","Parachute",2.00434731187903
"Morton","Standard Kart","Sponge","Parachute",1.8958126697168
"Pink Gold Peach","P-Wing","Sponge","MKTV Parafoil",1.8378031853722
"Pink Gold Peach","P-Wing","Sponge","Peach Parasol",1.8233307484962
"Pink Gold Peach","P-Wing","Cushion","Parachute",1.80039863192275
"Pink Gold Peach","P-Wing","Sponge","Hylian Kite",1.79463961977567
"Tanooki Mario","W 25 Silver Arrow","Sponge","Parachute",1.74071361354923
"Morton","Standard Kart","Sponge","MKTV Parafoil",1.72926854320998
"Morton","Standard Kart","Sponge","Peach Parasol",1.71479610633398
"Pink Gold Peach","P-Wing","Sponge","Paper Glider",1.71034242929133
