"Character","Vehicle","Tires","Glider","PredictedScore"
"Toad","P-Wing","Sponge","Parachute",2.06711593582106
"Pink Gold Peach","P-Wing","Sponge","Parachute",1.96166481351033
"Toad","P-Wing","Sponge","MKTV Parafoil",1.90853361271691
"Toad","P-Wing","Sponge","Peach Parasol",1.89611204850315
"Toad","P-Wing","Cushion","Parachute",1.87379561765468
"Morton","Standard Kart","Sponge","Parachute",1.87108327641882
"Toad","P-Wing","Sponge","Hylian Kite",1.86245467007701
"Morton","Splat Buggy","Sponge","Parachute",1.80478270141041
"Pink Gold Peach","P-Wing","Sponge","MKTV Parafoil",1.80308249040619
"Pink Gold Peach","P-Wing","Sponge","Peach Parasol",1.79066092619243
"Toad","P-Wing","Sponge","Paper Glider",1.77517838876203
"Pink Gold Peach","P-Wing","Cushion","Parachute",1.76834449534395
"Bowser","Splat Buggy","Sponge","Parachute",1.76732491664846
"Pink Gold Peach","P-Wing","Sponge","Hylian Kite",1.75700354776628
"Toad","P-Wing","Sponge","Wario Wing",1.7483590403544
"Toad","P-Wing","Sponge","Gold Glider",1.72868458619308
"Toad","P-Wing","Cushion","MKTV Parafoil",1.71521329455053
"Morton","Standard Kart","Sponge","MKTV Parafoil",1.71250095331468
"Toad","P-Wing","Cushion","Peach Parasol",1.70279173033677
"Morton","Standard Kart","Sponge","Peach Parasol",1.70007938910092
"Morton","Cat Cruiser","Sponge","Parachute",1.68668909858299
"Toad","P-Wing","Sponge","Plane Glider",1.67816426541503
"Morton","Standard Kart","Cushion","Parachute",1.67776295825244
"Pink Gold Peach","P-Wing","Sponge","Paper Glider",1.66972726645131
"Toad","P-Wing","Cushion","Hylian Kite",1.66913435191063
"Morton","Standard Kart","Sponge","Hylian Kite",1.66642201067478
"Toad","P-Wing","Sponge","Parafoil",1.66074451089384
"Morton","Splat Buggy","Sponge","MKTV Parafoil",1.64620037830627
"Pink Gold Peach","P-Wing","Sponge","Wario Wing",1.64290791804368
"Bowser","P-Wing","Sponge","Parachute",1.63898216264458
"Morton","Splat Buggy","Sponge","Peach Parasol",1.63377881409251
"Toad","P-Wing","Button","Parachute",1.63261050156518
"Bowser","Mach 8","Sponge","Parachute",1.6245094567543
"Pink Gold Peach","P-Wing","Sponge","Gold Glider",1.62323346388235
"Morton","Splat Buggy","Cushion","Parachute",1.61146238324403
"Pink Gold Peach","P-Wing","Cushion","MKTV Parafoil",1.60976217223981
"Bowser","Splat Buggy","Sponge","MKTV Parafoil",1.60874259354431
"Morton","Splat Buggy","Sponge","Hylian Kite",1.60012143566637
"Pink Gold Peach","P-Wing","Cushion","Peach Parasol",1.59734060802605
"Bowser","Splat Buggy","Sponge","Peach Parasol",1.59632102933055
"Toad","P-Wing","Cushion","Paper Glider",1.58185807059565
"Morton","Standard Kart","Sponge","Paper Glider",1.5791457293598
"Bowser","Splat Buggy","Cushion","Parachute",1.57400459848208
"Pink Gold Peach","P-Wing","Sponge","Plane Glider",1.5727131431043
"Pink Gold Peach","P-Wing","Cushion","Hylian Kite",1.5636832295999
"Bowser","Splat Buggy","Sponge","Hylian Kite",1.56266365090441
"Morton","Varmint","Sponge","Parachute",1.55663718633575
"Pink Gold Peach","P-Wing","Sponge","Parafoil",1.55529338858311
"Toad","P-Wing","Cushion","Wario Wing",1.55503872218802
"Morton","Standard Kart","Sponge","Wario Wing",1.55232638095217
