"Character","Effect"
"King Boo",-0.112421062553818
"Morton",0.44115935500913
"Wario",-0.0313612720246534
"Pink Gold Peach",0.0282801350466091
"Bowser Jr.",0.0190981465944678
"Rosalina",0.0670026571368821
"Dry Bowser",-0.0101231358706399
"Bowser",0.0856876434849196
"Daisy",-0.226144426072558
"Tanooki Mario",0.451514432443571
"Metal Mario",-0.193748174024719
"Yoshi",0.247111672037177
"Donkey Kong",-0.227649231305924
"Roy",-0.270826888415607
"Link",-0.170977789448532
"Lakitu",-0.116045174180567
"Waluigi",-0.400302680170213
"Ludwig",-0.124894009353257
"Koopa Troopa",-0.148196529927765
"Cat Peach",0.0572463710221486
"Luigi",-0.144375216513125
"Baby Daisy",0.039320396260994
"Peach",0.148621194931676
"Iggy",0.458256543469905
"Mario",0.166149926905996
"Toad",0.0393991423655265
"Baby Peach",-0.116802660838185
