"Vehicle","Effect"
"W 25 Silver Arrow",0.00830144344847216
"Splat Buggy",0.250750525536747
"Blue Falcon",-0.0323956258612442
"Tanooki Kart",0.0204703217299473
"Steel Driver",0.25375792079145
"Streetle",0.180958017312867
"City Tripper",-0.193824980298573
"Pipe Frame",-0.0795136204388516
"Circuit Special",-0.0924287290545701
"Standard Kart",0.132141648057587
"Wild Wiggler",0.00365755786057037
"Mach 8",-0.00250414543199815
"Cat Cruiser",0.0144340546575385
"Landship",-0.392535898905938
"Inkstriker",0.0162219791699087
"Prancer",0.00867188856709466
"Standard Bike",0.182621986725512
"Teddy Buggy",0.0184169824398145
"Flame Rider",-0.0238545239893993
"Varmint",-0.0572348215014339
"Koopa Clown",-0.0894441155060534
"P-Wing",0.0301815195801588
"B Dasher",-0.257814558350876
